activation_scale,energy_scope,excluded,baseline_checkpoint,cmm_crosssim_checkpoint,crosssim_only_checkpoint,vread_v,pulse_ns,sample_limit,processed_images,crosssim_only_processed_images,activation_vectors_per_tile,token_vectors_seen_per_layer_sum,crosssim_only_token_vectors_seen_per_layer_sum,r_on_ohm,r_off_ohm,tile_shape,adc_resolution,dac_resolution,read_noise_std,write_noise_std,digital_reference_scope,digital_mac_energy_pj,digital_mac_model,tile_rank,tile_id,layer_name,group,polarity,core_row,core_col,row_start,row_end,col_start,col_end,g_raw_min,g_raw_max,g_raw_mean,r_min_ohm,r_max_ohm,r_mean_ohm,tile_total_energy_j,tile_total_read_current_a,tile_mean_vector_power_w,tile_mean_vector_read_current_a,vector_count,nonzero_vector_count
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r46c1|pos,output_proj,output_proj,pos,46,1,5842,5969,128,256,0.009999999776482582,0.7245645523071289,0.07094708939154419,1374.9126974048288,50251.25684018647,31110.647732115227,2.8855342260498358e-08,69.07729728026281,0.0013260727141773162,0.031745081470709015,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r47c0|neg,output_proj,output_proj,neg,47,0,5969,6096,0,128,0.009999999776482582,0.6790937781333923,0.06818047615358704,1465.6248528644765,50251.25684018647,31288.0123539917,2.9441319862793072e-08,68.44594934862843,0.0013530018319298277,0.03145493995800939,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r47c0|pos,output_proj,output_proj,pos,47,0,5969,6096,0,128,0.009999999776482582,0.8506712317466736,0.06834984196167335,1173.482323190146,50251.25684018647,31223.333821984874,2.511792110601268e-08,63.97937522154854,0.0011543162272983766,0.029402286406961645,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r47c1|neg,output_proj,output_proj,neg,47,1,5969,6096,128,256,0.009999999776482582,0.6422349214553833,0.06556165441559027,1548.4368731476022,50251.25684018647,31294.961816855266,2.6638554189363087e-08,64.0757592763001,0.0012241982623788185,0.029446580549770267,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r47c1|pos,output_proj,output_proj,pos,47,1,5969,6096,128,256,0.009999999776482582,0.7769983410835266,0.06996719033853105,1283.320852165447,50251.25684018647,31161.318976938364,2.8612618137177767e-08,68.33785785836652,0.0013149181129217746,0.031405265559911084,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r48c0|neg,output_proj,output_proj,neg,48,0,6096,6223,0,128,0.009999999776482582,0.6466078758239746,0.06930485302428843,1538.1259973028493,50251.25684018647,31257.3609312352,2.999566401605198e-08,69.55305742280362,0.0013784772066200378,0.03196372124209725,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r48c0|pos,output_proj,output_proj,pos,48,0,6096,6223,0,128,0.009999999776482582,0.7730092406272888,0.06967258171520313,1289.857985081421,50251.25684018647,31002.57553508932,2.5533068825976264e-08,65.05023830647991,0.0011733947070761129,0.02989441098643378,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r48c1|neg,output_proj,output_proj,neg,48,1,6096,6223,128,256,0.009999999776482582,0.6749802827835083,0.0672932580451657,1474.4250362581117,50251.25684018647,30978.648276727297,2.738630299020556e-08,65.70170199857007,0.0012585617182998866,0.030193796874342864,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r48c1|pos,output_proj,output_proj,pos,48,1,6096,6223,128,256,0.009999999776482582,0.7039930820465088,0.07040669690537098,1414.520889065613,50251.25684018647,31398.430618933096,2.8709988853967066e-08,68.65465964675685,0.0013193928701271671,0.03155085461707576,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r49c0|neg,output_proj,output_proj,neg,49,0,6223,6350,0,128,0.009999999776482582,0.8031606078147888,0.07018445648047175,1242.036987666607,50251.25684018647,31089.75200198444,3.024037158602739e-08,70.23926576394724,0.0013897229589166942,0.032279074340049285,2176,2176
